model,code,trend,regime,days,strategy_ann_return,strategy_ann_vol,sharpe_excess_rf,max_drawdown,benchmark_ann_return,active_ann_return_vs_bh,tracking_error_ann,information_ratio,capm_alpha_ann,capm_beta,capm_r2,avg_position
HAR-YZ,sz.159845,ret20_gt_0,bull_close_gt_ma200,41,1.1912151669553914,0.2323816115921879,5.040050970172222,-0.0478896103896103,1.1912151669553914,0.0,0.0,,-5.280713842147476e-17,0.9999999999999998,1.0,1.0
HAR-YZ,sz.159845,close_gt_ma20,bull_close_gt_ma200,41,1.112761283610051,0.2300600893661521,4.749895067070356,-0.0489485101548426,1.1912151669553914,-0.07845388334534,0.014815839351154,-5.295270924979957,-0.0276050917348429,0.9880273265993704,0.9959989094958612,0.9930393893469912
HAR-YZ,sz.159845,ma5_gt_ma20,bull_close_gt_ma200,41,0.633250344539521,0.2062421219692141,2.9734485791949963,-0.0478896103896105,1.1912151669553914,-0.5579648224158704,0.1120240390808151,-4.980759727948657,-0.1239493222101451,0.777645868036653,0.7677370847797063,0.967078125969682
HAR-YZ,sh.588000,ret20_gt_0,bull_close_gt_ma200,394,0.956626748435446,0.3717179161685892,2.519724521458491,-0.1650189369622763,0.9908584558193664,-0.0342317073839204,0.1752704190665212,-0.1953079565065017,0.1046221434661588,0.8169760894777097,0.8187659447659557,0.8211174817925546
HAR-YZ,sh.588000,ma5_gt_ma20,bull_close_gt_ma200,394,0.92748123366409,0.37323155733141,2.4314161432450745,-0.168405416751494,0.9908584558193664,-0.0633772221552766,0.1638147428128938,-0.3868835067406903,0.0790222631430326,0.8317609122257623,0.8417989246683111,0.8478552775240424
HAR-YZ,sh.588000,close_gt_ma20,bull_close_gt_ma200,394,0.8972764331998662,0.3827769373250566,2.291873798172112,-0.2054466081460956,0.9908584558193664,-0.0935820226195003,0.1470704270942059,-0.6363075464488616,0.0392421161610497,0.868403964166844,0.8724089936332233,0.826052278217729
HAR-YZ,sh.588080,close_gt_ma20,bull_close_gt_ma200,393,0.8720113306992596,0.3721961214248363,2.2891461830327544,-0.2022217686523921,0.8938086602672106,-0.0217973295679509,0.1511749817476984,-0.1441860902905837,0.0782011197802104,0.8537141960566261,0.860285075113141,0.8247698546903687
HAR-YZ,sh.588080,ma5_gt_ma20,bull_close_gt_ma200,393,0.7177717381700812,0.3381858255849478,2.063279077303641,-0.177161785650543,0.8938086602672106,-0.1760369220971294,0.2170127743497285,-0.8111823030907654,0.0846498384305514,0.7057137599620997,0.7120449933106647,0.8392803153829606
HAR-YZ,sh.588080,ret20_gt_0,bull_close_gt_ma200,393,0.6730873215731816,0.3344269506857504,1.9528549365833416,-0.1700464374828867,0.8938086602672106,-0.220721338694029,0.2246046870048529,-0.9827102970885908,0.0695573013612353,0.6877308792150345,0.6915054062409747,0.8058814576105162
HAR-YZ,sh.510050,ma5_gt_ma20,bull_close_gt_ma200,972,0.2823995970747781,0.1386354408524593,1.8927310034238136,-0.0941164194087019,0.3021848309204662,-0.019785233845688,0.1315629516016291,-0.1503860593337667,0.1004288760863136,0.5259041424743737,0.530787258392926,0.685406521199296
HAR-YZ,sh.510050,ret20_gt_0,bull_close_gt_ma200,972,0.2610320646490396,0.1369902473698364,1.7594833886117347,-0.0925341745531019,0.3021848309204662,-0.0411527662714266,0.133085887780878,-0.3092196096642751,0.0864168628402194,0.5142938816641731,0.5198753872406887,0.6883646926612558
HAR-YZ,sz.159949,ret20_gt_0,bull_close_gt_ma200,972,0.566171070376706,0.325462650776331,1.6781374731445091,-0.2479949606727604,0.7400827676601016,-0.1739116972833956,0.1348408952179814,-1.2897548403416708,-0.0253911133032714,0.8492357705705691,0.8553075638124706,0.7579905655444664
HAR-YZ,sh.512100,ma5_gt_ma20,bull_close_gt_ma200,156,0.3434538138732594,0.1973780974061384,1.6387523140812283,-0.0807570950998641,0.2696384105568383,0.0738154033164211,0.1086482926211972,0.6793977294588404,0.1086944895660411,0.7601803086724327,0.7740326844457366,0.7943875857527474
HAR-YZ,sh.510050,close_gt_ma20,bull_close_gt_ma200,972,0.2317747380611123,0.1374963506736811,1.5402207914864263,-0.1182526497645216,0.3021848309204662,-0.0704100928593538,0.1328845977885585,-0.5298589455144228,0.0623355167012586,0.5169027075908064,0.5213040657790634,0.6543651163610164
HAR-YZ,sz.159949,ma5_gt_ma20,bull_close_gt_ma200,972,0.4899856574077665,0.3215821214139496,1.4614794359254435,-0.2479674796747965,0.7400827676601016,-0.250097110252335,0.1450712561913021,-1.723960464797642,-0.0638180997502232,0.8278444167339625,0.83249517728388,0.7431111770526951
HAR-YZ,sh.510300,ma5_gt_ma20,bull_close_gt_ma200,1050,0.2237799750281577,0.1396034522666735,1.4597058433690655,-0.1374481104706403,0.3273573577219844,-0.1035773826938266,0.137261292605956,-0.7546000822764526,0.0480359843193092,0.5082513881929565,0.5208251769530072,0.6916949061875456
